RFE_DT,RFE_RF,RFE_XGB,RFE_LGBM,SFM_DT,SFM_RF,SFM_XGB,SFM_LGBM,SKB_CHI,Total,Feature
0,0,0,0,0,0,0,0,0,0,463
0,0,0,0,0,0,0,0,0,0,424
0,0,0,0,0,0,0,0,0,0,551
0,0,0,0,0,0,0,0,0,0,520
0,0,0,0,0,0,0,0,0,0,505
0,0,0,0,0,0,0,0,0,0,438
0,0,0,0,0,0,0,0,0,0,526
0,0,0,0,0,0,0,0,0,0,442
0,0,0,0,0,0,0,0,0,0,518
0,0,0,0,0,0,0,0,0,0,488
0,0,0,0,0,0,0,0,0,0,605
0,0,0,0,0,0,0,0,0,0,439
0,0,0,0,0,0,0,0,0,0,460
0,0,0,0,0,0,0,0,0,0,495
0,0,0,0,0,0,0,0,0,0,503
0,0,0,0,0,0,0,0,0,0,489
0,0,0,0,0,0,0,0,0,0,504
0,0,0,0,0,0,0,0,0,0,471
0,0,0,0,0,0,0,0,0,0,537
0,0,0,0,0,0,0,0,0,0,492
0,0,0,0,0,0,0,0,0,0,437
0,0,0,0,0,0,0,0,0,0,506
0,0,0,0,0,0,0,0,0,0,433
0,0,0,0,0,0,0,0,0,0,782
0,0,0,0,0,0,0,0,0,0,611
0,0,0,0,0,0,0,0,0,0,756
0,0,0,0,0,0,0,0,0,0,742
0,0,0,0,0,0,0,0,0,0,743
0,0,0,0,0,0,0,0,0,0,785
0,0,0,0,0,0,0,0,0,0,744
0,0,0,0,0,0,0,0,0,0,745
0,0,0,0,0,0,0,0,0,0,746
0,0,0,0,0,0,0,0,0,0,747
0,0,0,0,0,0,0,0,0,0,748
0,0,0,0,0,0,0,0,0,0,750
0,0,0,0,0,0,0,0,0,0,751
0,0,0,0,0,0,0,0,0,0,752
0,0,0,0,0,0,0,0,0,0,753
0,0,0,0,0,0,0,0,0,0,783
0,0,0,0,0,0,0,0,0,0,755
0,0,0,0,0,0,0,0,0,0,757
0,0,0,0,0,0,0,0,0,0,612
0,0,0,0,0,0,0,0,0,0,758
0,0,0,0,0,0,0,0,0,0,760
0,0,0,0,0,0,0,0,0,0,761
0,0,0,0,0,0,0,0,0,0,762
0,0,0,0,0,0,0,0,0,0,763
0,0,0,0,0,0,0,0,0,0,764
0,0,0,0,0,0,0,0,0,0,765
0,0,0,0,0,0,0,0,0,0,766
0,0,0,0,0,0,0,0,0,0,767
0,0,0,0,0,0,0,0,0,0,768
0,0,0,0,0,0,0,0,0,0,769
0,0,0,0,0,0,0,0,0,0,773
0,0,0,0,0,0,0,0,0,0,774
0,0,0,0,0,0,0,0,0,0,775
0,0,0,0,0,0,0,0,0,0,741
0,0,0,0,0,0,0,0,0,0,738
0,0,0,0,0,0,0,0,0,0,786
0,0,0,0,0,0,0,0,0,0,736
0,0,0,0,0,0,0,0,0,0,633
0,0,0,0,0,0,0,0,0,0,636
0,0,0,0,0,0,0,0,0,0,646
0,0,0,0,0,0,0,0,0,0,649
0,0,0,0,0,0,0,0,0,0,652
0,0,0,0,0,0,0,0,0,0,654
0,0,0,0,0,0,0,0,0,0,658
0,0,0,0,0,0,0,0,0,0,661
0,0,0,0,0,0,0,0,0,0,671
0,0,0,0,0,0,0,0,0,0,672
0,0,0,0,0,0,0,0,0,0,673
0,0,0,0,0,0,0,0,0,0,675
0,0,0,0,0,0,0,0,0,0,681
0,0,0,0,0,0,0,0,0,0,686
0,0,0,0,0,0,0,0,0,0,692
0,0,0,0,0,0,0,0,0,0,705
0,0,0,0,0,0,0,0,0,0,708
0,0,0,0,0,0,0,0,0,0,709
0,0,0,0,0,0,0,0,0,0,710
0,0,0,0,0,0,0,0,0,0,714
0,0,0,0,0,0,0,0,0,0,717
0,0,0,0,0,0,0,0,0,0,776
0,0,0,0,0,0,0,0,0,0,718
0,0,0,0,0,0,0,0,0,0,853
0,0,0,0,0,0,0,0,0,0,847
0,0,0,0,0,0,0,0,0,0,846
0,0,0,0,0,0,0,0,0,0,726
0,0,0,0,0,0,0,0,0,0,845
0,0,0,0,0,0,0,0,0,0,844
0,0,0,0,0,0,0,0,0,0,416
0,0,0,0,0,0,0,0,0,0,295
0,0,0,0,0,0,0,0,0,0,408
0,0,0,0,0,0,0,0,0,0,144
0,0,0,0,0,0,0,0,0,0,93
0,0,0,0,0,0,0,0,0,0,96
0,0,0,0,0,0,0,0,0,0,99
0,0,0,0,0,0,0,0,0,0,101
0,0,0,0,0,0,0,0,0,0,102
0,0,0,0,0,0,0,0,0,0,104
0,0,0,0,0,0,0,0,0,0,109
0,0,0,0,0,0,0,0,0,0,114
0,0,0,0,0,0,0,0,0,0,115
0,0,0,0,0,0,0,0,0,0,116
0,0,0,0,0,0,0,0,0,0,118
0,0,0,0,0,0,0,0,0,0,119
0,0,0,0,0,0,0,0,0,0,125
0,0,0,0,0,0,0,0,0,0,126
0,0,0,0,0,0,0,0,0,0,155
0,0,0,0,0,0,0,0,0,0,86
0,0,0,0,0,0,0,0,0,0,164
0,0,0,0,0,0,0,0,0,0,166
0,0,0,0,0,0,0,0,0,0,188
0,0,0,0,0,0,0,0,0,0,191
0,0,0,0,0,0,0,0,0,0,196
0,0,0,0,0,0,0,0,0,0,197
0,0,0,0,0,0,0,0,0,0,203
0,0,0,0,0,0,0,0,0,0,204
0,0,0,0,0,0,0,0,0,0,208
0,0,0,0,0,0,0,0,0,0,209
0,0,0,0,0,0,0,0,0,0,212
0,0,0,0,0,0,0,0,0,0,214
0,0,0,0,0,0,0,0,0,0,216
0,0,0,0,0,0,0,0,0,0,218
0,0,0,0,0,0,0,0,0,0,92
0,0,0,0,0,0,0,0,0,0,72
0,0,0,0,0,0,0,0,0,0,402
0,0,0,0,0,0,0,0,0,0,45
0,0,0,0,0,0,0,0,0,0,29
0,0,0,0,0,0,0,0,0,0,30
0,0,0,0,0,0,0,0,0,0,31
0,0,0,0,0,0,0,0,0,0,32
0,0,0,0,0,0,0,0,0,0,33
0,0,0,0,0,0,0,0,0,0,34
0,0,0,0,0,0,0,0,0,0,35
0,0,0,0,0,0,0,0,0,0,37
0,0,0,0,0,0,0,0,0,0,38
0,0,0,0,0,0,0,0,0,0,39
0,0,0,0,0,0,0,0,0,0,40
0,0,0,0,0,0,0,0,0,0,41
0,0,0,0,0,0,0,0,0,0,42
0,0,0,0,0,0,0,0,0,0,44
0,0,0,0,0,0,0,0,0,0,47
0,0,0,0,0,0,0,0,0,0,71
0,0,0,0,0,0,0,0,0,0,48
0,0,0,0,0,0,0,0,0,0,51
0,0,0,0,0,0,0,0,0,0,52
0,0,0,0,0,0,0,0,0,0,55
0,0,0,0,0,0,0,0,0,0,56
0,0,0,0,0,0,0,0,0,0,58
0,0,0,0,0,0,0,0,0,0,59
0,0,0,0,0,0,0,0,0,0,60
0,0,0,0,0,0,0,0,0,0,62
0,0,0,0,0,0,0,0,0,0,63
0,0,0,0,0,0,0,0,0,0,65
0,0,0,0,0,0,0,0,0,0,67
0,0,0,0,0,0,0,0,0,0,69
0,0,0,0,0,0,0,0,0,0,70
0,0,0,0,0,0,0,0,0,0,224
0,0,0,0,0,0,0,0,0,0,225
0,0,0,0,0,0,0,0,0,0,226
0,0,0,0,0,0,0,0,0,0,348
0,0,0,0,0,0,0,0,0,0,308
0,0,0,0,0,0,0,0,0,0,309
0,0,0,0,0,0,0,0,0,0,311
0,0,0,0,0,0,0,0,0,0,313
